Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
PF15X100,PEPA METALIZADA OVALO FINO 8X15 X100,19.00,19.00,22.80,19.00,6
PF12X100,PEPA METALIZDA OVALO FINO 7X12 X100,17.00,17.00,20.40,17.00,6
PENIPL,PEPA NIQUEL / PLATA,1.64,1.64,1.64,1.64,6
PENIPLF,PEPA NIQUEL / PLATA FDA/GDE,10.50,10.50,12.60,10.50,3
PENPRO,PEPA NIQUEL PLATA PARA ROPA,1.64,1.64,1.64,1.64,6
PENPROF,PEPA NIQUEL PLATA PARA ROPA FDA/GDE,10.50,10.50,12.60,10.50,3
POGKF,PEPA OJO DE GATO / KG fda/gde,3.94,3.94,3.94,3.94,6
POGK,PEPA OJO GATO KG/,0.45,0.45,0.45,0.45,6
PEPGRAEF,PEPA PLAST.  GRAFITY ESP. FD/GDE,12.00,12.00,14.40,12.00,6
PEPGRAE,PEPA PLAST.GRAFITY ESP- FD/PEQ,1.88,1.88,1.88,1.88,6
PEPARM,PEPA PLASTICA ARMABLE,0.75,0.75,0.75,0.75,6
PEPARMF,PEPA PLASTICA ARMABLE FDA/GDE,6.00,6.00,6.00,6.00,6
PPC/B,PEPA PLASTICA COBRE/BRONCE,1.00,1.00,1.00,1.00,6
PPCBF,PEPA PLASTICA COBRE/BRONCE FDA/GDE.,3.14,3.14,3.14,3.14,6
PPLASD,PEPA PLASTICA DIJE,0.85,0.85,0.85,0.85,6
PPLASDOF,PEPA PLASTICA DIJE OFERTA FDA. GRANDE,3.14,3.14,3.14,3.14,6
PEPGAM,PEPA PLASTICA GAMUZA,1.88,1.88,1.88,1.88,6
PEPGAMF,PEPA PLASTICA GAMUZA FD/GD,12.00,12.00,14.40,12.00,6
PEPGRA,PEPA PLASTICA GRAFITI,0.85,0.85,0.85,0.85,6
PEPGRAF,PEPA PLASTICA GRAFITI FDA/GD,6.00,6.00,6.00,6.00,6
PPGRA,PEPA PLASTICA GRANITO,0.85,0.85,0.85,0.85,6
PPGRAF,PEPA PLASTICA GRANITO FDA/GD,3.14,3.14,3.14,3.14,6
PPH,PEPA PLASTICA HIELO,1.17,1.17,1.17,1.17,6
PPHF,PEPA PLASTICA HIELO FDA/GDE,7.50,7.50,9.00,7.50,6
PEPM,PEPA PLASTICA MATE,1.63,1.63,1.63,1.63,6
PEPMF,PEPA PLASTICA MATE FDA/GDE,5.00,5.00,6.00,5.00,6
PEPN,PEPA PLASTICA NACAR,1.61,1.61,1.61,1.61,6
PEPNF,PEPA PLASTICA NACAR FDA/GDE,9.90,9.90,11.88,9.90,3
PPP,PEPA PLASTICA PORCELANA,1.17,1.17,1.17,1.17,6
PPPF,PEPA PLASTICA PORCELANA FDA/GDE,7.50,7.50,9.00,7.50,6
PEPR3F,PEPA PLASTICA ROMBO # 3 FD/GDE,9.50,9.50,11.40,9.50,3
PEPR3,PEPA PLASTICA ROMBO# 3,1.54,1.54,1.54,1.54,6
PP/D,PEPA PLATEADA / DORADA,0.89,0.89,0.89,0.89,6
PPPDF,PEPA PLATEADA / DORADA FDA/GDE,3.14,3.14,3.14,3.14,6
PERL9,PERLA # 9,2.90,2.90,3.63,2.90,6
PERL5,PERLA 5/6,1.90,1.90,2.38,1.90,6
PABG,PERLA ARROZ BRILLO GRANDE,13.50,13.50,16.89,13.50,6
PAF16,PERLA ARROZ FINA # 16,16.50,16.50,20.63,16.50,6
PAF2,PERLA ARROZ FINA 0.2,4.50,4.50,5.63,4.50,6
PAF4,PERLA ARROZ FINA 0.4,3.75,3.75,4.69,3.75,6
PAF6,PERLA ARROZ FINA 0.6,4.43,4.43,5.54,4.43,6
PAF7,PERLA ARROZ FINA 0.7,6.30,6.30,7.88,6.30,6
PAF8,PERLA ARROZ FINA 0.8,12.75,12.75,15.94,12.75,6
PAF9,PERLA ARROZ FINA 0.9,14.85,14.85,18.57,14.85,6
PERL10,PERLA FINA # 9 - # 10 - # 11,11.25,11.25,13.50,11.25,6
PFP10,PERLA FINA PASTILLA # 10,13.50,13.50,16.88,13.50,6
PJAP10,PERLA JAPONESA # 10,1.10,1.10,1.38,1.10,6
PJAP12,PERLA JAPONESA # 12,1.25,1.25,1.57,1.25,6
PJAP14,PERLA JAPONESA # 14,2.00,2.00,2.50,2.00,6
PJAP16,PERLA JAPONESA # 16,3.42,3.42,4.11,3.42,6
PJAP4,PERLA JAPONESA 0.4,0.50,0.50,0.63,0.50,6
PJAP6,PERLA JAPONESA 0.6,0.60,0.60,0.75,0.60,6
PJAP8,PERLA JAPONESA 0.8,0.75,0.75,0.94,0.75,6
PJAG,PERLA JAPONESA ARRUGADA GOTA,1.70,1.70,1.79,1.70,6
PJAPC,PERLA JAPONESA CASCAJO,0.60,0.60,0.60,0.60,6
PJM6,PERLA JAPONESA MATE # 0.6,0.50,0.50,0.50,0.50,6
PJM8,PERLA JAPONESA MATE # 0.8,0.67,0.67,0.67,0.67,6
PJM10,PERLA JAPONESA MATE # 10,0.85,0.85,0.85,0.85,6
PJM12,PERLA JAPONESA MATE # 12,1.00,1.00,1.00,1.00,6
PJM14,PERLA JAPONESA MATE # 14,1.50,1.50,1.50,1.50,6
PJM16,PERLA JAPONESA MATE # 16,2.00,2.00,2.00,2.00,6
PJM,PERLA JAPONESA MEDIANA,0.89,0.89,0.89,0.89,6
PAH3/7,PERLA NAT. HUEVO3/7 GD.,12.75,12.75,15.90,12.75,6
PNACO,PERLA NATURAL COLOR,1.20,1.20,1.51,1.20,6
PERP4,PERLA PLASTICA # 4,0.30,0.30,0.38,0.30,6
PERP5,PERLA PLASTICA # 5,0.30,0.30,0.38,0.30,6
PPF,PERLA PLASTICA FUNDA,2.16,2.16,2.16,2.16,6
PPFG,PERLA PLASTICA FUNDA FD/GR.,6.90,6.90,8.28,6.90,3
PPS8,PERLA PLASTICA SARTA #  8,0.90,0.90,1.13,0.90,6
PPS10,PERLA PLASTICA SARTA # 10,1.25,1.25,1.57,1.25,6
PPS12,PERLA PLASTICA SARTA # 12,1.40,1.40,1.75,1.40,6
PPS14,PERLA PLASTICA SARTA # 14,1.75,1.75,2.19,1.75,6
PPS20,PERLA PLASTICA SARTA # 20,3.25,3.25,4.07,3.25,6
PPS6,PERLA PLASTICA SARTA # 6,0.75,0.75,0.94,0.75,6
PPS16,PERLA PLASTICA SARTA# 16,2.95,2.95,3.69,2.95,6
PVHAN,PERLA VELA HORIZONTAL ANCHA,14.00,14.00,17.50,14.00,6
PVNAT,PERLA VELA NATURAL,9.80,9.80,12.25,9.80,6
PVREC,PERLA VELA RECTANGULO,14.00,14.00,17.50,14.00,6
PORRECT,PIED OVAL ROMBO-RECT,10.50,10.50,12.60,10.50,6
PNT13TI,PIED. NAT. TAMBOR 13X18 TI,6.90,6.90,8.28,6.90,6
PNVMT,PIED. NAT.V/M. TIRA,5.00,5.00,6.00,5.00,6
POGDRT,PIED. O/ GATO DIJE RECT. TIRA,3.90,3.90,4.88,3.90,6
POG14TI,PIED. O/GATO BOLA #14 TIR,4.50,4.50,5.40,4.50,6
POTRGT,PIED.O/TIGRE RECT.GR TIR,13.50,13.50,16.20,13.50,6
POTRMT,PIED.O/TIGRE RECT.MD TIR,9.00,9.00,10.80,9.00,6
PIOTRG,PIED.OJO DE TIGRE RECT. GRANDE,1.29,1.29,1.29,1.29,6
PIOTRM,PIED.OJO DE TIGRE RECT. MED.,1.00,1.00,1.00,1.00,6
PAJA,PIEDRA AGATA / JADE ARGOLLA,3.00,3.00,3.75,3.00,6
PA6B,PIEDRA AGATA 6 BORDES 10x30,0.80,0.80,0.80,0.80,6
PA6B10T,PIEDRA AGATA 6 BORDES 10x30 TI,7.50,7.50,9.38,7.50,6
PADR,PIEDRA AGATA DIJE REDONDA,0.45,0.45,0.45,0.45,6
PAEN,PIEDRA AGATA ENTORCHADA,3.35,3.35,4.69,3.35,6
PAE10,PIEDRA AGATA ENTORCHADA # 10,6.50,6.50,8.13,6.50,6
PAE14,PIEDRA AGATA ENTORCHADA # 14,8.00,8.00,10.00,8.00,6
PAE12,PIEDRA AGATA ENTORCHADA #12,7.00,7.00,8.75,7.00,6
PAFB8,PIEDRA AGATA FACETEADA BOLA # 08,8.00,8.00,10.00,8.00,6
PANPTI,PIEDRA AGATA NAT. PASTILLA TIRA,5.35,5.35,6.42,5.35,6
PANP,PIEDRA AGATA NATURAL PASTILLA,0.00,0.00,0.30,0.00,6
PAO10,PIEDRA AGATA OVALO 10 x 30,7.50,7.50,9.38,7.50,6
PAO12,PIEDRA AGATA OVALO 12 X 40,0.90,0.90,0.90,0.90,6
PAROM,PIEDRA AGATA ROMBO,7.00,7.00,8.82,7.00,6
PAR20,PIEDRA AGATA ROMBO 20 X 32,4.50,4.50,5.63,4.50,6
PAR35,PIEDRA AGATA ROMBO 35 X 35,5.50,5.50,6.88,5.50,6
PARP,PIEDRA AGATA ROMBO PLANO,4.90,4.90,6.13,4.90,6
PART,PIEDRA ARTIFICIAL,1.54,1.54,1.54,1.54,6
PARTF,PIEDRA ARTIFICIAL FD/GD,9.80,9.80,11.76,9.80,3
PIB10,PIEDRA BOLA # 10,3.40,3.40,4.08,3.40,6
PIB12,PIEDRA BOLA # 12,3.80,3.80,4.56,3.80,6
PIB04,PIEDRA BOLA # 4,1.90,1.90,2.37,1.90,6
PIB06,PIEDRA BOLA # 6,2.50,2.50,3.00,2.50,6
PIB08,PIEDRA BOLA # 8,2.90,2.90,3.48,2.90,6
PCC,PIEDRA CONCHA CIRUELO,0.75,0.75,0.75,0.75,6
PCCG,PIEDRA CONCHA CIRUELO GDE,1.95,1.95,2.44,1.95,6
PICG,PIEDRA CONCHA GRANDE,0.65,0.65,0.82,0.65,6
PCNA,PIEDRA CONCHA NACAR,0.50,0.50,0.63,0.50,6
PCNAT,PIEDRA CONCHA NATURAL,0.65,0.65,0.78,0.65,6
PIGT,PIEDRA GRANDE TRANSPARENTE,5.00,5.00,6.25,5.00,6
PMB10,PIEDRA MALAKITA BOLA # 10,6.50,6.50,8.13,6.50,6
PMB12,PIEDRA MALAKITA BOLA # 12,8.00,8.00,10.00,8.00,6
PMB14,PIEDRA MALAKITA BOLA # 14,9.50,9.50,11.88,9.50,6
