Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
CNB3/4,CONCHA NATURAL BOLA 3/4,0.80,0.80,1.00,0.80,6
CCNF,CONCHA NATURAL FINA,0.75,0.75,0.75,0.75,6
CAVM,CORAL ARROZ VARIOS MODELOS,0.08,0.08,0.10,0.08,6
CORCAS,CORAL CASCAJO,0.05,0.05,0.07,0.05,6
CCTP,CORAL CUADRADO TUBO PASTILLA,0.10,0.10,0.13,0.10,6
CCOLRA,CORDON COLA DE RATA,0.04,0.04,0.04,0.04,6
CCOLKG,CORDON COLA DE RATA KG,8.50,8.50,8.93,8.50,3
CORSP,CORDON DE SEDA /PQ.,0.29,0.29,0.37,0.29,6
CORSPXPQ,CORDON DE SEDA PEQ. X PAQ.,2.90,2.90,3.48,2.90,None
CEG2.8K,CORDON ELASTICO  GRUESO 2.8. KG,10.63,10.63,10.63,10.63,6
CEMXR,CORDON ELASTICO  MED. x ROLLO,4.50,4.50,5.63,4.50,3
CEF1.8K,CORDON ELASTICO FINO 1.8 .KG,13.75,13.75,13.75,13.75,6
COREL,CORDON ELASTICO FINO 1.8.,0.15,0.15,0.15,0.15,6
CEG2.8,CORDON ELASTICO GRUESO 2.8,0.38,0.38,0.38,0.38,6
COREM,CORDON ELASTICO MED. 2.0,0.20,0.20,0.20,0.20,6
CEM2.0K,CORDON ELASTICO MED. 2.0 KG,11.88,11.88,11.88,11.88,6
CORTH,CORTA HILACHAS,0.50,0.50,0.63,0.50,12
CORCO,CORTADOR DE COLLAR,0.60,0.60,0.76,0.60,6
CNB10RJ,CRIST NAT A BOLA # 10 RJT,3.50,3.50,4.38,3.50,6
CO1.5RT,CRIST OVALO1.5#4R,TOR,3.00,3.00,3.75,3.00,6
CO14RJT,CRIST OVALO14RJT,7.00,7.00,8.75,7.00,6
CO6RJT,CRIST, OVALO # 6 RJ,T,2.00,2.00,2.50,2.00,6
CNB6RJT,CRIST.NAT. BOLA #6 RJ,T,1.50,1.50,1.88,1.50,6
CN#6RJT,CRIST.NAT.A # 6 RJ,T,1.50,1.50,1.88,1.50,6
CO8RJT,CRIST.OVALO # 8 RJ,T,2.75,2.75,3.44,2.75,6
CRIENT,CRISTAL ENTORCHADO,0.53,0.53,0.53,0.53,6
CRISFO,CRISTAL FOSFORECENTE,0.75,0.75,0.75,0.75,6
CRISHOJ,CRISTAL HOJA,0.75,0.75,0.95,0.75,6
CRISTL.4,CRISTAL LARGO # 04,0.22,0.22,0.22,0.22,6
CRISTL6,CRISTAL LARGO # 06,0.45,0.45,0.45,0.45,6
CRISTL8,CRISTAL LARGO # 08,1.20,1.20,1.20,1.20,6
CNA#4RJ,CRISTAL NAT A.1.5 #4 (ROS,ROJ,TOR),1.45,1.45,1.82,1.45,6
CNAB4,CRISTAL NAT. A 1.5 BOLA # 4,0.95,0.95,1.19,0.95,6
CNAB1.56,CRISTAL NAT. A 1.5 BOLA # 6,1.20,1.20,1.50,1.20,6
CNAB8,CRISTAL NAT. A 1.5 BOLA # 8,5.00,5.00,6.25,5.00,6
CNAB6N,CRISTAL NAT. A BOLA # 6 NUEVA,2.50,2.50,3.13,2.50,6
CNB4RJT,CRISTAL NAT.1.5BOLA#4 RS,RJ,TOR,1.45,1.45,1.82,1.45,6
CNAB10,CRISTAL NATURAL  A  1.5 BOLA # 10,5.50,5.50,6.88,5.50,6
CNA10,CRISTAL NATURAL  A # 10,2.00,2.00,2.50,2.00,6
CNA8,CRISTAL NATURAL  A # 8,1.40,1.40,1.75,1.40,6
CNAB6,CRISTAL NATURAL  A BOLA # 06,1.70,1.70,2.13,1.70,6
CNAB8P,CRISTAL NATURAL  A BOLA # 08,2.00,2.00,2.50,2.00,6
CNEX6,CRISTAL NATURAL  A EXAGONAL #6 - #8,5.00,5.00,6.25,5.00,6
CRISTN4,CRISTAL NATURAL # 04,0.50,0.50,0.63,0.50,6
CRISTN6,CRISTAL NATURAL # 06,0.75,0.75,0.93,0.75,6
CRISTN8,CRISTAL NATURAL # 08,0.95,0.95,1.20,0.95,6
CRISTN10,CRISTAL NATURAL # 10,1.50,1.50,1.58,1.50,6
CNA4,CRISTAL NATURAL A # 04,1.90,1.90,2.39,1.90,6
CNA6,CRISTAL NATURAL A # 6,1.20,1.20,1.50,1.20,6
CNA4R,CRISTAL NATURAL A 1.5 # 04,0.95,0.95,1.19,0.95,6
CNABP12,CRISTAL NATURAL A BOLA 12,2.50,2.50,3.13,2.50,6
CNC4,CRISTAL NATURAL CUADRADO # 04,2.50,2.50,3.13,2.50,6
CNC6,CRISTAL NATURAL CUADRADO # 06,2.75,2.75,3.44,2.75,6
CNC8,CRISTAL NATURAL CUADRADO # 08,3.00,3.00,3.75,3.00,6
CND10,CRISTAL NATURAL DIAMANTE # 10,3.60,3.60,4.50,3.60,6
CND12,CRISTAL NATURAL DIAMANTE # 12,4.25,4.25,5.31,4.25,6
CND14,CRISTAL NATURAL DIAMANTE # 14,4.95,4.95,6.19,4.95,6
CNVM,CRISTAL NATURAL VARIOS MODELOS,1.00,1.00,1.25,1.00,6
CNO10,CRISTAL OVALO # 10,2.25,2.25,2.82,2.25,6
CO10RJT,CRISTAL OVALO # 10 RJT,3.50,3.50,4.38,3.50,6
CNO12,CRISTAL OVALO # 12,3.50,3.50,4.38,3.50,6
CO12RJT,CRISTAL OVALO # 12RJT,5.00,5.00,6.25,5.00,6
CNO14,CRISTAL OVALO # 14,5.40,5.40,6.75,5.40,6
CNO4,CRISTAL OVALO # 4,1.50,1.50,1.88,1.50,6
CNO6,CRISTAL OVALO # 6,1.50,1.50,1.88,1.50,6
CNO8,CRISTAL OVALO # 8,2.00,2.00,2.50,2.00,6
CO#4RT,CRISTAL OVALO #4 RJ,RS,TOR,2.00,2.00,2.50,2.00,6
COV1.5.4,CRISTAL OVALO 1.5 # 4,4.00,4.00,5.00,4.00,6
CTN6,CRISTAL TORNASOL NATURAL 6,1.90,1.90,2.39,1.90,6
CROX12,CROCHETS X DOC.,1.30,1.30,1.63,1.30,6
CROXUN,CROCHETS x UN.,0.40,0.40,0.50,0.40,6
CRUZP,CRUZES PLASTICAS,3.00,3.00,3.00,3.00,6
CRUZPF,CRUZES PLASTICAS FDA/GDE,25.00,25.00,30.00,25.00,6
CUADRO,CUADRO,24.11,24.11,24.11,24.11,6
CUARJB6,CUARZO JADE BOLA # 06,0.45,0.45,0.54,0.45,6
CUARJB8,CUARZO JADE BOLA # 08,0.60,0.60,0.72,0.60,6
CUARJB10,CUARZO JADE BOLA # 10,0.75,0.75,0.90,0.75,6
CUARJB12,CUARZO JADE BOLA # 12,0.80,0.80,0.80,0.80,6
CUARJB16,CUARZO JADE BOLA # 16,0.95,0.95,0.95,0.95,6
CUARJCG,CUARZO JADE CAMPANA GRANDE,0.75,0.75,0.75,0.75,6
CUARJC4,CUARZO JADE CUADRADO # 04,0.50,0.50,0.60,0.50,6
CJC6,CUARZO JADE CUADRADO # 06,0.75,0.75,0.90,0.75,6
CUARJC8,CUARZO JADE CUADRADO # 08,0.90,0.90,1.08,0.90,6
CUARJC10,CUARZO JADE CUADRADO # 10,1.10,1.10,1.32,1.10,6
CJCL6,CUARZO JADE CUADRADO LARGO # 6,0.95,0.95,1.14,0.95,6
CUARJC,CUARZO JADE CUERNO,0.95,0.95,0.95,0.95,6
CUARJE,CUARZO JADE ENTORCHADO,1.50,1.50,1.80,1.50,6
CUARJP,CUARZO JADE PASTILLA,0.60,0.60,0.60,0.60,6
CUARJR8,CUARZO JADE PLANO REDONDO/8,0.60,0.60,0.60,0.60,6
CJT,CUARZO JADE TORCIDO,1.50,1.50,1.80,1.50,6
CJRG,CUARZO RECTANGULAR GDE. 8 X 16,1.50,1.50,1.80,1.50,6
CJRM,CUARZO RECTANGULAR MED. 6 X 12,1.10,1.10,1.32,1.10,6
CGYM,CUELLOS DE GIPIUR MEDIANO,1.75,1.75,2.19,1.75,6
DBB5X8,DIAMANTE DE BRASIL 5 x 8 / 6 x 8,0.75,0.75,0.94,0.75,6
DBB6X9,DIAMANTE DE BRASIL 6 x 9,0.80,0.80,0.96,0.80,6
DBB4,DIAMANTE DE BRASIL BOLA # 04,0.35,0.35,0.42,0.35,6
DBB6,DIAMANTE DE BRASIL BOLA # 06,0.45,0.45,0.54,0.45,6
DBB8,DIAMANTE DE BRASIL BOLA # 08,0.60,0.60,0.75,0.60,6
DBB10,DIAMANTE DE BRASIL BOLA # 10,0.90,0.90,1.13,0.90,6
DBB12,DIAMANTE DE BRASIL BOLA # 12,1.00,1.00,1.20,1.00,6
DBDPX12,DIAMANTE DE BRASIL C/DIJE PEQ x 12,1.65,1.65,2.07,1.65,6
DBBC4,DIAMANTE DE BRASIL CUADRADO # 04,0.35,0.35,0.44,0.35,6
DBBC6,DIAMANTE DE BRASIL CUADRADO # 06,0.45,0.45,0.57,0.45,6
DBBC8,DIAMANTE DE BRASIL CUADRADO # 08,0.90,0.90,1.13,0.90,6
DBE/C,DIAMANTE DE BRASIL ESTRELLA / CORAZON,1.50,1.50,1.88,1.50,6
DBMAG,DIAMANTE DE BRASIL MAGNETICO,0.80,0.80,1.00,0.80,6
DBP6,DIAMANTE DE BRASIL PASTILLA # 06,0.50,0.50,0.63,0.50,6
DBP8,DIAMANTE DE BRASIL PASTILLA # 08,0.80,0.80,1.00,0.80,6
DBT5X8I,DIAMANTE DE BRASIL TUBO 5X8 IMAN,0.70,0.70,0.84,0.70,6
DIJAG,DIJE ACERO GRANDE,1.50,1.50,1.89,1.50,6
DAMXFU,DIJE ACERO MEDIANO,10.50,10.50,12.60,10.50,6
DIJAM,DIJE ACERO MEDIANO,1.25,1.25,1.25,1.25,6
DAMX100,DIJE ACERO MEDIANO X 100,10.50,10.50,12.60,10.50,3
DAGO,DIJE AGATA OVALADA,0.45,0.45,0.56,0.45,6
DIJEBX1,DIJE CON BASE x 1,0.45,0.45,0.45,0.45,6
DIJCAR,DIJE CONCHA ARGOLLA,0.15,0.15,0.19,0.15,6
DIJCB,DIJE CONCHA CON BASE,6.80,6.80,8.50,6.80,6
DIJOG,DIJE CONCHA HOJA GRANDE,0.75,0.75,0.94,0.75,6
DIJECP,DIJE CONCHA PINTADA,0.22,0.22,0.28,0.22,6
DIJECR,DIJE CONCHA ROSA,0.35,0.35,0.44,0.35,6
DIJCAG,DIJE CRISTAL ATACHE GRANDE,1.00,1.00,1.25,1.00,6
DIJCAM,DIJE CRISTAL ATACHE MEDIANO,0.60,0.60,0.75,0.60,6
DCCM,DIJE CRISTAL CORAZON.MARIPOSA,0.15,0.15,0.19,0.15,6
DIJCG,DIJE CRISTAL GOTA,0.19,0.19,0.24,0.19,6
DIJCGG,DIJE CRISTAL GOTA GRANDE,0.80,0.80,1.00,0.80,6
DIJCGM,DIJE CRISTAL GOTA MEDIANA,0.40,0.40,0.50,0.40,6
DIJCPR,DIJE CRISTAL PEQUENO REDONDO,0.10,0.10,0.13,0.10,6
DIJCRG,DIJE CRISTAL REDONDO GRANDE,0.50,0.50,0.65,0.50,6
DIJQFP,DIJE CUARZO FLOR/PQ.,1.20,1.20,1.51,1.20,6
DDB2H,DIJE DIAMANTE DE BRASIL 2 HUECOS,0.02,0.02,0.02,0.02,6
DDBX100,DIJE DIAMANTE DE BRASIL x 100,0.03,0.03,0.03,0.03,3
DIJDVM,DIJE DIAMANTE VARIOS MODELOS,2.50,2.50,3.13,2.50,6
DIJGH,DIJE GEMA CON HUECOS,0.80,0.80,1.01,0.80,6
DIJGNG,DIJE GEMA NATURAL GRANDE,0.75,0.75,0.94,0.75,6
DLLCOF,DIJE LLAVERO PARA CELULAR OFERTA,0.18,0.18,0.18,0.18,6
DIJMET,DIJE METALICO,0.40,0.40,0.50,0.40,6
DMETOF,DIJE METALICO  OFERTA  6 pares,0.89,0.89,0.89,0.89,6
DMETGF,DIJE METALICO GRANDE FDA/GDE,10.00,10.00,10.00,10.00,6
DMETMF,DIJE METALICO MEDIANO FDA/GDE,6.00,6.00,7.20,6.00,6
DIJOGO,DIJE OJO DE GATO OVALO,0.56,0.56,0.56,0.56,6
DOGOPT,DIJE OJO DE GATO OVALO PEQ. TI,4.50,4.50,5.40,4.50,6
DOGOT,DIJE OJO DE GATO OVALO TIRA,7.00,7.00,8.40,7.00,6
DJCLX100,DIJE PARA CELULAR,3.50,3.50,4.68,3.50,6
DIJECEL,DIJE PARA CELULAR X12,0.09,0.09,0.09,0.09,6
DIJPN,DIJE PIEDRA NATURAL,5.00,5.00,6.25,5.00,6
DIJVFV,DIJE VITRO FUSION VARIOS MODELOS,1.90,1.90,2.38,1.90,6
DIJVFO,DIJE VITROFUSION OVALO,0.75,0.75,0.94,0.75,6
DIDVX,DIJES DIAMANTE VARIOS MODELOS X PAR,0.80,0.80,1.00,0.80,6
DIJAR,DIJES PARA ARETES,0.75,0.75,0.95,0.75,6
DBBI8,DMT / BRASIL BOLA IMAN # 8,0.80,0.80,1.00,0.80,6
DBBI10,DMT/BRASIL BOLA IMAN # 10,0.90,0.90,1.13,0.90,6
DBBI6,DMT/BRASIL BOLA IMAN # 6,0.70,0.70,0.88,0.70,6
ELAST,ELASTICO,0.50,0.50,0.63,0.50,6
ELASTL,ELASTICO LARGO,2.00,2.00,2.50,2.00,6
ENCEL,ENCAJE  ELASTICO,0.00,0.00,0.55,0.00,6
EREF722,ENCAJE  REF. # 722,0.12,0.12,0.15,0.12,6
EREF730,ENCAJE  REF. # 730,0.30,0.30,0.38,0.30,6
ENCJ2,ENCAJE # 2,0.00,0.00,0.22,0.00,None
ENCJ1B,ENCAJE 1 BORDES,0.25,0.25,0.41,0.25,6
ENCJ11B,ENCAJE 11BORDES,0.78,0.78,1.05,0.78,6
ENCJ5B,ENCAJE 5 BORDES,0.43,0.43,0.59,0.43,6
ENCJCR,ENCAJE COLA DE RATA,0.25,0.25,0.40,0.25,6
ENCJP,ENCAJE CON PERLA,0.36,0.36,0.59,0.36,6
ENCAJC,ENCAJE CUADRADO,0.36,0.36,0.48,0.36,6
EEROLLO,ENCAJE ELASTICO ROLLO,9.50,9.50,11.40,9.50,3
ENCAJET,ENCAJE ENTRENSADO,0.25,0.25,0.41,0.25,6
ENCAJFI,ENCAJE FINO,0.00,0.00,0.45,0.00,6
EFROLLO,ENCAJE FINO ROLLO,7.50,7.50,9.00,7.50,6
ENCGG,ENCAJE GAMUZA GRANDE,1.50,1.50,1.88,1.50,6
ENCGP,ENCAJE GIPIUR PEQ. (DS-401660E1.3/F),0.36,0.36,0.45,0.36,6
EHPL,ENCAJE HILO PLATEADO CON LENTEJUELA,1.00,1.00,1.25,1.00,6
ENCLFEM,ENCAJE LENT. CON FLOR EN MED,0.58,0.58,0.72,0.58,None
ENCJM,ENCAJE MEDALLA,0.70,0.70,0.90,0.70,6
ENCJN,ENCAJE NUDO,0.25,0.25,0.40,0.25,6
E244-313,ENCAJE REF. # 244 - # 313,0.15,0.15,0.19,0.15,6
EREF336,ENCAJE REF. # 336,0.20,0.20,0.25,0.20,6
EREF445,ENCAJE REF. # 445,0.25,0.25,0.32,0.25,6
EREF703,ENCAJE REF. # 703,0.35,0.35,0.44,0.35,6
ENCJC,ENCAJE TEJIDO DE CUERO,0.40,0.40,0.55,0.40,6
ENCAJS,ENCAJE TIRA CUERO SENCILLO,0.30,0.30,0.50,0.30,6
ENCTG,ENCAJE TIRA GAMUZA,0.30,0.30,0.40,0.30,6
ENCJTX1,ENCAJE TIRA x 1,0.10,0.10,0.13,0.10,6
ESTCB,ESTUCHE BRILLOSO,6.50,6.50,7.80,6.50,6
ESTC,ESTUCHE CORAZON,0.40,0.40,0.50,0.40,6
ESTC9X9,ESTUCHE CUADRADO 9 x 9,0.55,0.55,0.69,0.55,6
ESCGR,ESTUCHE CUADRADO GRANDE,0.76,0.76,0.76,0.76,6
ESCMD,ESTUCHE CUADRADO MED.,0.62,0.62,0.78,0.62,6
ESTCP,ESTUCHE CUERO PEQ.,1.45,1.45,1.74,1.45,6
ESC11,ESTUCHE DE CUERO 11x12,3.00,3.00,3.75,3.00,6
ESC22,ESTUCHE DE CUERO 22 x 5.5,3.00,3.00,3.75,3.00,6
ESC9X,ESTUCHE DE CUERO 8x9,2.75,2.75,3.44,2.75,6
ESC9X5,ESTUCHE DE CUERO 9 x 5,2.80,2.80,3.36,2.80,6
ESCR7X5,ESTUCHE DE CUERO RECT. 7x 5,1.75,1.75,2.19,1.75,6
ESTGA,ESTUCHE DE GAMUZA,2.40,2.40,3.00,2.40,6
ESG12,ESTUCHE GAMUZA 12 x 17.5,4.20,4.20,5.29,4.20,6
ESG22,ESTUCHE GAMUZA 22x5,2.40,2.40,3.02,2.40,6
ESG9,ESTUCHE GAMUZA 9x11,2.40,2.40,3.00,2.40,6
ESTPLAN,ESTUCHE PLASTICO DE ANILLO,0.25,0.25,0.30,0.25,6
ESTR8X11,ESTUCHE RECTANGULAR 8 x 11,0.60,0.60,0.75,0.60,6
ESTOR,ESTUCHE TORNASOL,0.55,0.55,0.69,0.55,6
ESTPLG,ESTUCHES PLASTICO GRANDE,0.75,0.75,0.75,0.75,6
EXHIB,EXHIBIDORES,5.00,5.00,6.00,5.00,6
EXAGR,EXSIBIDORES DE ARETE GRANDE,6.80,6.80,8.16,6.80,6
EAPEQ,EXSIBIDORES DE ARETE PEQ.,3.00,3.00,3.75,3.00,6
FATG,FICHA PARA ARETE TAGUA /GD.,0.12,0.12,0.15,0.12,6
FATM,FICHA PARA ARETE TAGUA /MD.,0.10,0.10,0.13,0.10,6
FATP,FICHA PARA ARETE TAGUA /PQ.,0.11,0.11,0.14,0.11,6
FICHP,FICHA PULSERA,0.12,0.12,0.15,0.12,6
FUNX16,FUNDA CON CIERRE 11 x 16 GDE,1.85,1.85,2.29,1.85,6
FUNX7,FUNDA CON CIERRE 7x 10 PEQ.,0.95,0.95,1.19,0.95,6
FUNX9,FUNDA CON CIERRE 9 x 13 MED.,1.45,1.45,1.81,1.45,6
GAPX500,GANCHO ARETE NUE. PEQ. X500,15.00,15.00,18.00,15.00,6
GANXP,GANCHO DE ARETE FINO NUEVO,0.16,0.16,0.16,0.16,6
GANXN,GANCHO DE ARETE NUEVO PQ.,0.12,0.12,0.12,0.12,6
GANX500,GANCHO DE ARETE NUEVO X500,20.00,20.00,24.00,20.00,6
GAX500,GANCHO DE ARETE X500,10.00,10.00,12.50,10.00,6
GANLLG,GANCHO LLAVERO GRANDE,0.13,0.13,0.13,0.13,6
GANLLGF,GANCHO LLAVERO GRANDE F/GDE.,7.00,7.00,8.40,7.00,6
GLLAVM,GANCHO LLAVERO MEDIANO,0.11,0.11,0.11,0.11,6
GLLAVMF,GANCHO LLAVERO MEDIANO F/GDE.,6.50,6.50,7.80,6.50,3
GANCA,GANCHOS DE ARETES,0.09,0.09,0.09,0.09,6
GARGCH,GARGANTILLA DE CHAQUIRA,0.79,0.79,0.99,0.79,6
GIRX5TL,GIRASOL X 5 TL,3.50,3.50,4.20,3.50,6
GRANB3,GRANATE BOLA # 03 - 04,5.50,5.50,6.88,5.50,6
GRANB6,GRANATE BOLA # 06,8.00,8.00,10.00,8.00,6
GRANB8,GRANATE BOLA # 08,9.50,9.50,11.88,9.50,6
GRANB10,GRANATE BOLA # 10,10.00,10.00,12.50,10.00,6
GRANB12,GRANATE BOLA # 12,12.50,12.50,15.63,12.50,6
GRANC,GRANATE CASCAJO,2.90,2.90,3.63,2.90,6
GRANF8,GRANATE FACETEADO BOLA # 08,14.00,14.00,17.50,14.00,6
GRANF9,GRANATE FACETEADO BOLA # 09 - 10,15.00,15.00,18.75,15.00,6
GRANF11,GRANATE FACETEADO BOLA # 11 - 12,16.50,16.50,20.62,16.50,6
GRANP,GRANATE PASTILLA,5.20,5.20,6.50,5.20,6
GRANT,GRANATE TUBO,5.50,5.50,6.88,5.50,6
GRANV,GRANATE VARIOS MODELOS,5.50,5.50,6.88,5.50,6
800,hello3,0.00,0.00,0.00,0.00,6
HALGF,HILO ALGODON FINO,1.20,1.20,1.44,1.20,6
HALG,HILO ALGODON GRUESO,1.50,1.50,1.80,1.50,6
HCAUCHK,HILO CAUCHO / KG,5.00,5.00,6.25,5.00,6
HILOC,HILO CUERO,0.19,0.19,0.23,0.19,6
HILCM,HILO CUERO METALIZADO,0.14,0.14,0.18,0.14,100
HILCTR,HILO CUERO TRENSADO,0.18,0.18,0.23,0.18,100
HILCTB,HILO CUERO TRENSADO CON BRILLO,0.23,0.23,0.29,0.23,100
HILCTD,HILO CUERO TRENSADO DOBLE,0.33,0.33,0.41,0.33,100
HILCTP,HILO CUERO TRENSADO PLANO,0.27,0.27,0.34,0.27,100
HILBX12,HILO DE BORDAR x 12 un.,1.30,1.30,1.63,1.30,6
HILDCEL,HILO DIJE PARA CELULAR,1.50,1.50,1.88,1.50,6
HELAST,HILO ELASTICO COLOR,0.50,0.50,0.63,0.50,6
HELASTO,HILO ELASTICO COLOR OFERTA,0.40,0.40,0.40,0.40,6
HELOFX2,HILO ELASTICO OFERTA # 2 x 4,0.89,0.89,0.89,0.89,6
HENXR1,HILO ENSERADO x ROLLO 1.0,4.80,4.80,6.00,4.80,6
HENXR1.5,HILO ENSERADO x ROLLO 1.5,6.00,6.00,7.50,6.00,6
HENXR2.0,HILO ENSERADO x ROLLO 2.0,4.80,4.80,6.00,4.80,6
HILNY,HILO NYLON,0.50,0.50,0.63,0.50,6
HILNKG,HILO NYLON / KG,10.00,10.00,10.50,10.00,6
HILBXRO,HILO PARA BORDAR   x ROLLO,0.75,0.75,0.75,0.75,6
HILPC,HILO PARA COSER,0.20,0.20,0.20,0.20,6
HILP,HILO PARA COSERX12CAJA,1.20,1.20,1.44,1.20,6
HILTJXK,HILO PARA TEJER x KG,7.50,7.50,9.38,7.50,3
HILOP,HILO PERLA,1.95,1.95,2.44,1.95,6
HILP/DX8,HILO PLATEADO /DORADO x 8 un.,1.20,1.20,1.50,1.20,6
HILPDPX,HILO PLATEADO DORADO x ROLLO PEQ.,1.20,1.20,1.50,1.20,6
HILPDOR,HILO PLATEADO/DORADO,0.95,0.95,1.20,0.95,6
HO12-14,HOJALILLOS # 12-14,0.38,0.38,0.38,0.38,6
HO16-18,HOJALILLOS # 16-18,0.48,0.48,0.48,0.48,6
HO16FUN,HOJALILLOS # 16-18 XF,15.00,15.00,18.00,15.00,6
HO08-10,HOJALILLOS # 8-10,0.31,0.31,0.31,0.31,6
HO8X100,HOJALILLOS # 8-10 XF,5.00,5.00,6.00,5.00,6
HO12FUN,HOJALILLOS #12-14 XF,10.00,10.00,12.00,10.00,6
HOJPB,HOJALILLOS PARA BOTON,18.00,18.00,22.50,18.00,6
1111,hola,5.00,6.00,3.00,5.00,6
IMPERLA,IMPERDIBLE / LANA,2.00,2.00,2.50,2.00,6
LPC,LAZO PARA CINTURON,0.38,0.38,0.48,0.38,6
LENTJRO,LENTEJUELA / ROLLO,4.00,4.00,4.80,4.00,6
LENTJF,LENTEJUELA FDA/GDE,5.50,5.50,6.60,5.50,3
LTJOFF,LENTEJUELA FDA/GDE OFERTA,3.14,3.14,3.14,3.14,6
LENTEJ,LENTEJUELA FDA/PEQ,0.69,0.69,0.69,0.69,6
LENTEJO,LENTEJUELA FDA/PEQ. OFERTA,0.45,0.45,0.45,0.45,6
LENTXM,LENTEJUELA x METRO,0.09,0.09,0.09,0.09,6
LETDOM,LETRA DIAMANTE  O MEDIANA,0.45,0.45,0.54,0.45,6
LOPA,LETRA O PARA PEGAR ATACHE,0.15,0.15,0.19,0.15,6
LLAVMO,LLAVERO METALICO OFERTA,0.45,0.45,0.45,0.45,6
LLAVSEL,LLAVERO SELECCION,0.22,0.22,0.22,0.22,6
MALLMF,MALLA METALICA FDA/GDE,7.50,7.50,9.00,7.50,6
MALLMP,MALLA METALICA FDA/PEQ,0.94,0.94,0.94,0.94,6
MAQ201,MAQUINA PARA COSER # 201,11.50,11.50,11.50,11.50,6
MAQ208,MAQUINA PARA COSER # 208,16.00,16.00,16.00,16.00,6
MAQ988,MAQUINA PARA COSER * 988,10.00,10.00,10.00,10.00,6
MAQMA,MAQUINA PARA COSER MANUAL,7.50,7.50,7.50,7.50,6
MARPAR,MARIPOSA DE ARETE,0.94,0.94,0.94,0.94,6
MARPAB,MARIPOSA DE ARETE BRONCE,0.94,0.94,0.94,0.94,6
MARPABF,MARIPOSA DE ARETE BRONCE FDA/GDE,7.50,7.50,9.00,7.50,6
MARPARF,MARIPOSA DE ARETE FDA/GDE,7.50,7.50,9.00,7.50,6
MARAFI,MARIPOSA DE ARETE FINA,4.00,4.00,5.00,4.00,6
MURB06,MURRINA BOLA # 06,1.00,1.00,1.26,1.00,6
MURB08,MURRINA BOLA # 08,1.25,1.25,1.56,1.25,6
MURB10,MURRINA BOLA # 10,1.75,1.75,2.19,1.75,6
MURB12,MURRINA BOLA # 12,2.00,2.00,2.50,2.00,6
MUPA10,MURRINA PASTILLA # 10,3.00,3.00,3.78,3.00,6
MURTAM,MURRINA TAMBOR,3.00,3.00,3.78,3.00,6
NYLELE,NYLON ELEFANTE,4.00,4.00,5.04,4.00,6
PJTOX100,P. JIANG TAI T. OVALO 12X20 X100,39.00,39.00,46.80,39.00,6
PP/DOF,P. PLATEADA - DORADA OFERTA FDA. GR,3.14,3.14,3.14,3.14,6
PALCIRC,PALILLOS CIRCULARES,1.30,1.30,1.63,1.30,6
PALTEJE,PALILLOS PARA TEJER,0.60,0.60,0.75,0.60,6
PPTPLAS,PALILLOS PARA TEJER PLAS.,0.30,0.30,0.36,0.30,6
PALTEPL,PALILLOS PARA TEJER PLASTICO,0.30,0.30,0.38,0.30,6
PALTEX4,PALILLOS PARA TEJER x 4,0.75,0.75,0.94,0.75,6
PAQDIAM,PAQUETE DIAMANTE,25.00,25.00,3.00,25.00,6
PEGTEPM,PEG./ TELA PARA PIEDRA Y METALES,1.80,1.80,2.25,1.80,6
PEGTELA,PEGAMENTO DE TELA PARA TELA,1.20,1.20,1.50,1.20,6
PEGATU,PEGAMENTO EN TUBO,0.40,0.40,0.50,0.40,6
PEGATUG,PEGAMENTO GRANDE,2.80,2.80,3.36,2.80,6
PEGATUP,PEGAMENTO PEQUENO,1.20,1.20,1.50,1.20,6
PEINXPAR,PEINETA x PAR,0.25,0.25,0.31,0.25,6
PEINFDA,PEINETAS FDA/GDE,25.00,25.00,30.00,25.00,6
PELLF,PELLON FINO,1.90,1.90,1.90,1.90,6
PELLF1,PELLON FINO 1 mmm,0.75,0.75,0.94,0.75,6
PELLG2,PELLON GDE. 2 mm,1.25,1.25,1.57,1.25,6
PELLM1.5,PELLON MED. 1.5mm,1.00,1.00,1.25,1.00,6
PAMB,PEPA AMBAR,1.40,1.40,1.40,1.40,6
PAMBE,PEPA AMBAR ESPECIAL,2.16,2.16,2.16,2.16,6
PAMBEF,PEPA AMBAR ESPECIAL FDA/GDE,6.90,6.90,8.28,6.90,3
PAMBF,PEPA AMBAR FDA/GDE,5.00,5.00,5.00,5.00,6
PANTIG,PEPA ANTIGUA,1.17,1.17,1.17,1.17,6
PANTIGF,PEPA ANTIGUA FD/GD,7.80,7.80,9.36,7.80,3
PBITOR,PEPA BICOLOR TORNASOL,2.03,2.03,2.03,2.03,6
PBITORF,PEPA BICOLOR TORNASOL FDA/GDE,13.00,13.00,15.60,13.00,6
PEBTO3,PEPA BICOLOR TORNASOL ROMBO # 3,2.94,2.94,2.94,2.94,6
PEBTO3F,PEPA BICOLOR TORNASOL ROMBO# 3 FDA/GDE,18.80,18.80,22.56,18.80,3
PCOBP,PEPA COBRE PULIDA,1.43,1.43,1.43,1.43,6
PCOBPF,PEPA COBRE PULIDA FDA/GDE,9.50,9.50,11.40,9.50,3
PCOL1,PEPA COLOR # 01,1.55,1.55,1.55,1.55,6
